precinct,election_id,registered_voters,ballots_total
2073.0,12,577.0,249.0
2073.0,17,513.0,224.0
2073.0,19,547.0,428.0
2073.0,20,2.0,0.0
2073.0,26,475.0,170.0
2073.0,28,478.0,89.0
2073.0,29,637.0,359.0
2075.0,19,707.0,612.0
2075.0,20,0.0,0.0
2075.0,21,685.0,174.0
2075.0,26,687.0,414.0
2075.0,28,696.0,220.0
2075.0,29,787.0,603.0
2077.0,19,782.0,612.0
2077.0,20,1.0,0.0
2077.0,21,750.0,105.0
2077.0,26,755.0,274.0
2077.0,28,760.0,135.0
2077.0,29,912.0,576.0
2078.0,19,1196.0,1042.0
2078.0,20,0.0,0.0
2078.0,21,1144.0,260.0
2078.0,26,1122.0,572.0
2078.0,28,1130.0,311.0
2078.0,29,1242.0,912.0
2079.0,1,3986.0,3456.0
2079.0,3,3973.0,1122.0
2079.0,5,3965.0,2279.0
2079.0,6,2760.0,1020.0
2079.0,7,2780.0,2042.0
2079.0,9,2751.0,2530.0
2079.0,12,2576.0,1289.0
2079.0,16,2482.0,1814.0
2079.0,17,2362.0,976.0
2079.0,19,997.0,828.0
2079.0,20,2.0,1.0
2079.0,21,934.0,142.0
2079.0,26,929.0,405.0
2079.0,28,903.0,224.0
2079.0,29,1046.0,731.0
2080.0,19,856.0,710.0
2080.0,20,0.0,0.0
2080.0,21,816.0,116.0
2080.0,26,800.0,313.0
2080.0,28,805.0,137.0
2080.0,29,910.0,636.0
2081.0,6,1242.0,425.0
2081.0,7,1269.0,846.0
2081.0,9,1257.0,1117.0
2081.0,12,1125.0,557.0
2081.0,16,1098.0,778.0
2081.0,17,1038.0,416.0
2081.0,19,1081.0,891.0
2081.0,20,2.0,0.0
2081.0,21,1002.0,170.0
2081.0,26,974.0,401.0
2081.0,28,968.0,210.0
2081.0,29,1100.0,790.0
2082.0,1,3193.0,2664.0
2082.0,3,3189.0,767.0
2082.0,5,3174.0,1731.0
2082.0,6,1700.0,560.0
2082.0,7,1705.0,1166.0
2082.0,9,1696.0,1527.0
2082.0,12,1575.0,754.0
2082.0,16,1457.0,1063.0
2082.0,17,1386.0,526.0
2082.0,19,697.0,568.0
2082.0,20,0.0,0.0
2082.0,21,685.0,131.0
2082.0,26,667.0,268.0
2082.0,28,662.0,140.0
2082.0,29,806.0,553.0
2088.0,1,1180.0,938.0
2088.0,3,1181.0,309.0
2088.0,5,1196.0,678.0
2088.0,6,1187.0,467.0
2088.0,7,1187.0,802.0
2088.0,9,1148.0,1023.0
2088.0,12,1082.0,586.0
2088.0,16,1036.0,774.0
2088.0,17,1000.0,383.0
2088.0,19,1068.0,875.0
2088.0,20,2.0,1.0
2088.0,26,1026.0,486.0
2088.0,28,1011.0,274.0
2088.0,29,1130.0,858.0
2092.0,29,683.0,489.0
2094.0,1,3699.0,3090.0
2094.0,3,3732.0,896.0
2094.0,5,3717.0,2169.0
2094.0,6,2126.0,752.0
2094.0,7,2138.0,1448.0
2094.0,9,2064.0,1849.0
2094.0,12,1873.0,906.0
2094.0,17,1723.0,585.0
2094.0,19,913.0,723.0
2094.0,20,2.0,0.0
2094.0,21,866.0,137.0
2094.0,26,834.0,319.0
2094.0,28,842.0,163.0
2094.0,29,1047.0,700.0
2095.0,6,7.0,0.0
2095.0,7,6.0,4.0
2095.0,9,4.0,4.0
2095.0,12,2.0,1.0
2095.0,14,3.0,1.0
2095.0,16,3.0,2.0
2095.0,17,3.0,0.0
2095.0,20,0.0,0.0
2095.0,26,8.0,3.0
2095.0,28,8.0,3.0
2095.0,29,7.0,5.0
2096.0,1,0.0,0.0
2096.0,3,0.0,0.0
2096.0,5,0.0,0.0
2096.0,6,0.0,0.0
2096.0,7,0.0,0.0
2096.0,9,0.0,0.0
2096.0,12,0.0,0.0
2096.0,14,0.0,0.0
2096.0,16,0.0,0.0
2096.0,17,0.0,0.0
2096.0,19,0.0,0.0
2096.0,20,0.0,0.0
2096.0,21,0.0,0.0
2096.0,26,0.0,0.0
2097.0,1,0.0,0.0
2097.0,3,0.0,0.0
2097.0,5,0.0,0.0
2097.0,6,0.0,0.0
2097.0,7,0.0,0.0
2097.0,9,0.0,0.0
2097.0,12,0.0,0.0
2097.0,14,0.0,0.0
2097.0,16,0.0,0.0
2097.0,17,0.0,0.0
2097.0,19,0.0,0.0
2097.0,20,0.0,0.0
2097.0,26,0.0,0.0
2098.0,1,645.0,248.0
2098.0,3,643.0,81.0
2098.0,5,671.0,217.0
2098.0,6,661.0,109.0
2098.0,7,644.0,246.0
2098.0,9,621.0,475.0
2098.0,12,554.0,174.0
2098.0,16,538.0,262.0
2098.0,17,497.0,102.0
2098.0,19,526.0,345.0
2099.0,1,404.0,124.0
2099.0,3,410.0,54.0
2099.0,5,414.0,111.0
2099.0,6,404.0,66.0
2099.0,7,395.0,163.0
2099.0,9,379.0,286.0
2099.0,12,325.0,93.0
2099.0,16,315.0,147.0
2099.0,17,308.0,70.0
2099.0,19,351.0,200.0
2100.0,1,0.0,0.0
2100.0,3,0.0,0.0
2100.0,5,0.0,0.0
2100.0,6,0.0,0.0
2100.0,7,0.0,0.0
2100.0,9,0.0,0.0
2100.0,12,0.0,0.0
2100.0,14,0.0,0.0
2100.0,16,0.0,0.0
2101.0,1,0.0,0.0
2101.0,3,0.0,0.0
2101.0,5,0.0,0.0
2101.0,6,0.0,0.0
2101.0,7,0.0,0.0
2101.0,9,0.0,0.0
2101.0,12,0.0,0.0
2101.0,16,0.0,0.0
2102.0,1,0.0,0.0
2102.0,5,0.0,0.0
2102.0,6,0.0,0.0
2102.0,7,1.0,1.0
2102.0,9,1.0,1.0
2102.0,12,1.0,1.0
2102.0,14,1.0,0.0
2102.0,16,2.0,1.0
2103.0,5,24.0,11.0
2103.0,7,24.0,10.0
2103.0,9,21.0,21.0
2104.0,1,0.0,0.0
2104.0,3,0.0,0.0
2104.0,5,0.0,0.0
2104.0,6,0.0,0.0
2104.0,7,0.0,0.0
2104.0,9,0.0,0.0
2108.0,3,1.0,0.0
2108.0,6,1.0,0.0
2108.0,7,1.0,1.0
2108.0,9,1.0,2.0
2108.0,12,0.0,0.0
2108.0,14,2.0,0.0
2108.0,16,2.0,2.0
2109.0,1,0.0,0.0
2109.0,3,0.0,0.0
2109.0,5,0.0,0.0
2109.0,6,0.0,0.0
2109.0,7,0.0,0.0
2109.0,9,0.0,0.0
2109.0,12,0.0,0.0
2109.0,14,0.0,0.0
2109.0,16,0.0,0.0
2111.0,3,1.0,0.0
2111.0,7,1.0,1.0
2111.0,9,1.0,1.0
2111.0,12,1.0,1.0
2111.0,14,1.0,0.0
2111.0,16,0.0,1.0
2117.0,1,2883.0,1024.0
2117.0,3,2885.0,436.0
2117.0,5,2879.0,861.0
2117.0,6,2823.0,509.0
2117.0,7,3089.0,1372.0
2117.0,9,2969.0,2374.0
2117.0,12,2764.0,1044.0
2117.0,16,2553.0,1477.0
2117.0,17,1078.0,333.0
2117.0,19,1059.0,824.0
2117.0,20,1.0,0.0
2117.0,26,964.0,328.0
2117.0,28,947.0,154.0
2117.0,29,1178.0,661.0
2119.0,17,1369.0,399.0
2119.0,19,1433.0,1044.0
2119.0,20,1.0,0.0
2119.0,26,1281.0,455.0
2119.0,28,1253.0,179.0
2119.0,29,1496.0,906.0
2122.0,1,101.0,42.0
2122.0,3,82.0,11.0
2122.0,7,35.0,9.0
2122.0,9,30.0,19.0
2122.0,12,31.0,7.0
2122.0,16,22.0,7.0
2122.0,17,26.0,5.0
2122.0,19,25.0,19.0
2122.0,20,0.0,0.0
2122.0,26,20.0,5.0
2122.0,28,25.0,2.0
2122.0,29,36.0,11.0
2128.0,1,2326.0,1002.0
2128.0,3,2353.0,404.0
2128.0,5,2336.0,799.0
2128.0,6,2304.0,477.0
2128.0,7,2321.0,1005.0
2128.0,9,2208.0,1671.0
2128.0,12,2051.0,725.0
2128.0,16,1939.0,1027.0
2128.0,17,1836.0,530.0
2128.0,19,1955.0,1348.0
2128.0,20,6.0,1.0
2128.0,26,1070.0,359.0
2128.0,28,1881.0,344.0
2128.0,29,1031.0,607.0
2129.0,6,0.0,0.0
2129.0,7,0.0,0.0
2129.0,9,0.0,0.0
2130.0,29,987.0,514.0
2131.0,17,941.0,303.0
2131.0,19,967.0,724.0
2131.0,20,1.0,0.0
2131.0,26,903.0,303.0
2131.0,28,894.0,155.0
2131.0,29,1095.0,583.0
2133.0,1,0.0,0.0
2133.0,3,0.0,0.0
2133.0,5,0.0,0.0
2133.0,6,0.0,0.0
2133.0,7,0.0,0.0
2133.0,9,0.0,0.0
2133.0,12,0.0,0.0
2133.0,16,0.0,0.0
2133.0,17,0.0,0.0
2133.0,19,0.0,0.0
2133.0,20,0.0,0.0
2133.0,26,0.0,0.0
2134.0,0,3181.0,745.0
2134.0,1,3193.0,1274.0
2134.0,3,3258.0,694.0
2134.0,5,3252.0,1048.0
2134.0,6,1469.0,312.0
2134.0,7,1472.0,670.0
2134.0,9,1443.0,1080.0
2134.0,12,1324.0,482.0
2134.0,17,1152.0,335.0
2134.0,19,1216.0,883.0
2134.0,20,1.0,0.0
2134.0,26,1065.0,310.0
2134.0,28,1036.0,150.0
2134.0,29,1354.0,657.0
2135.0,6,1731.0,294.0
2135.0,7,1698.0,715.0
2135.0,9,1644.0,1168.0
2135.0,12,1530.0,491.0
2135.0,17,1320.0,402.0
2135.0,19,1353.0,885.0
2135.0,20,2.0,0.0
2135.0,26,1225.0,350.0
2135.0,28,1189.0,170.0
2135.0,29,1566.0,740.0
2139.0,17,686.0,287.0
2139.0,19,722.0,616.0
2139.0,20,0.0,0.0
2139.0,26,674.0,361.0
2139.0,28,668.0,203.0
